person,name,year
https://data.muziekweb.nl/Link/M00000000342,Wayne Barlow,1912
https://data.muziekweb.nl/Link/M00000000343,Semen Barmotin,1877
https://data.muziekweb.nl/Link/M00000000343,Semyon Alexeyevich Barmotin,1877
https://data.muziekweb.nl/Link/M00000000343,Semyon Barmotin,1877
https://data.muziekweb.nl/Link/M00000000350,Richard Barrett,1959
https://data.muziekweb.nl/Link/M00000000351,Françoise Barrière,1944
https://data.muziekweb.nl/Link/M00000000415,George Allen Smith,1924
https://data.muziekweb.nl/Link/M00000000415,"George ""Harmonica"" Smith",1924
https://data.muziekweb.nl/Link/M00000000418,Bert van Dongen,1915
https://data.muziekweb.nl/Link/M00000000476,Junior Wells,1934
https://data.muziekweb.nl/Link/M00000000484,Carey Bell-Harrington,1936
https://data.muziekweb.nl/Link/M00000000484,Carey Bell,1936
https://data.muziekweb.nl/Link/M00000000621,Friedrich Brodersen,1873
https://data.muziekweb.nl/Link/M00000000630,Adolph Stanley Levey,1926
https://data.muziekweb.nl/Link/M00000000630,Stan Levey,1926
https://data.muziekweb.nl/Link/M00000000780,Doc Cheatham,1905
https://data.muziekweb.nl/Link/M00000000792,Phillip Goodhand-Tait,1945
https://data.muziekweb.nl/Link/M00000000793,Renato Zanelli Morales,1892
https://data.muziekweb.nl/Link/M00000000793,Renato Zanelli,1892
https://data.muziekweb.nl/Link/M00000000800,Rudi van Straten,1955
https://data.muziekweb.nl/Link/M00000000832,Modest Menzinsky,1875
https://data.muziekweb.nl/Link/M00000000835,Helen Forrest,1917
https://data.muziekweb.nl/Link/M00000000848,Bert Jansch,1943
https://data.muziekweb.nl/Link/M00000000917,Chris Carter,1953
https://data.muziekweb.nl/Link/M00000000996,Jhelisa Anderson,1994
https://data.muziekweb.nl/Link/M00000000996,Jhelisa,1994
https://data.muziekweb.nl/Link/M00000001041,Cyril Stapleton,1914
https://data.muziekweb.nl/Link/M00000001060,Ben Neill,1957
https://data.muziekweb.nl/Link/M00000001076,Klaus Kinski,1926
https://data.muziekweb.nl/Link/M00000001092,Richard Berry [FR II],1950
https://data.muziekweb.nl/Link/M00000001109,Pvt. Cecil Gant,1913
https://data.muziekweb.nl/Link/M00000001109,Cecil Gant,1913
https://data.muziekweb.nl/Link/M00000001226,Arwell Hughes,1909
https://data.muziekweb.nl/Link/M00000001295,Edgar Froese,1944
https://data.muziekweb.nl/Link/M00000001295,Edgar W. Froese,1944
https://data.muziekweb.nl/Link/M00000001311,Juan Garcia Esquivel,1918
https://data.muziekweb.nl/Link/M00000001311,Esquivel,1918
https://data.muziekweb.nl/Link/M00000001356,Farid al Atrash,1915
https://data.muziekweb.nl/Link/M00000001356,Farid el Atrache,1915
https://data.muziekweb.nl/Link/M00000001399,Fred Van Hove,1937
