person,name,year
https://data.muziekschatten.nl/som/0096403b88cc5aa9beb3c829a01a9758,ROMA CAMPBELL-HUNTER,1900
https://data.muziekschatten.nl/som/009d0d152367e1dbec5d35074b16b235,STEPOVIY,1883
https://data.muziekschatten.nl/som/009d0d152367e1dbec5d35074b16b235,STEPOVOJ,1883
https://data.muziekschatten.nl/som/009d0d152367e1dbec5d35074b16b235,STEPOVYJ,1883
https://data.muziekschatten.nl/som/009d0d152367e1dbec5d35074b16b235,ÂKÌV STEPOVIJ,1883
https://data.muziekschatten.nl/som/009d44b3099603d397b4e94b4c19c11f,GABRIEL RUIZ,1908
https://data.muziekschatten.nl/som/00a70da4f843d8e30f7f81c3b9f42adb,BENGT LUNDIN,1945
https://data.muziekschatten.nl/som/00aa7f773a75d416d8469875c02ec2b5,ANDREJ GENRIH ARENDS,1855
https://data.muziekschatten.nl/som/00ae82ef2872ef2431ebc085d73de395,ERICA JONG,1942
https://data.muziekschatten.nl/som/00b1244a7d9f24b70be7b02172d35f14,JOSEPH BLAHACK,1780
https://data.muziekschatten.nl/som/00b1c80ed37cd5f65b6092ac05cb56c3,JOHANN BAPTIST SCHENK,1753
https://data.muziekschatten.nl/som/00b3676ce59472761acf1940f2e9ae2d,OTTAVIO BARGNANI,1570
https://data.muziekschatten.nl/som/00b4bb60be9af425470711c7c68f2a67,WILLY PRAGER,1877
https://data.muziekschatten.nl/som/00b602734ae252fc923105a2ff1d992a,DANIEL ERICH,1649
https://data.muziekschatten.nl/som/00b602734ae252fc923105a2ff1d992a,DANIEL ERICH,1660
https://data.muziekschatten.nl/som/00ba9701fd9e427da9cb4bdf29f0b17a,EVA RUTH SPALDING,1882
https://data.muziekschatten.nl/som/00bc08f2926e9f6216082fc6d846f0f3,GEOFFREY GREY,1934
https://data.muziekschatten.nl/som/00c25f907477885a5747c89ec991e2be,KEN WARNER,1902
https://data.muziekschatten.nl/som/00c49f7c41b61b362c622aaff04101b3,IZAÄK JACOBUS OSKAM,1897
https://data.muziekschatten.nl/som/00c7aed43939a6e1a4c2491830a45cf6,HEINRICH PANOFKA,1807
https://data.muziekschatten.nl/som/00ca3f753feed3857f99d4e0baf71da1,EMILE BERNARD,1843
https://data.muziekschatten.nl/som/00cd0446212f322923b49a497745e51d,VALLE,1586
https://data.muziekschatten.nl/som/00cd0446212f322923b49a497745e51d,PIETRO DELLA VALLE,1586
https://data.muziekschatten.nl/som/00cd3a78f6f9a977cdfe0ae9f2660635,KENNETH PLATTS,1946
https://data.muziekschatten.nl/som/00d7adf6aad01a377b1faadbd641eea9,CHARLES FONTEYN MANNEY,1872
https://data.muziekschatten.nl/som/00d86df05fb158f478b1f3bcfc6a2773,LOUIS METZ,1910
https://data.muziekschatten.nl/som/00d9b780af2bdbaab52d830dff41981e,HEINO GAZE,1908
https://data.muziekschatten.nl/som/00dca81314cc4de60e73925cc10bd250,CLERMONT PÉPIN,1926
https://data.muziekschatten.nl/som/00e1d75ae2480c403335315103f06332,RAOUL ZAADNOORDIJK,1954
https://data.muziekschatten.nl/som/00e3dd0a0c2fc0c2dd3d54a31395ca93,IGNACY KRZYZANOWSKI,1826
https://data.muziekschatten.nl/som/00e5d9ba259790cb3eeee11e628ad7bc,MERLE HAGGARD,1937
https://data.muziekschatten.nl/som/00e99a505fbcd1f6ddb7f06775a52cde,MIHAIL BOGDANOV,1956
https://data.muziekschatten.nl/som/00ea3c1cb2ff50d7417a23b4d9a79972,CHRISTIAAN MAURITS VAN DEN HEEVER,1902
https://data.muziekschatten.nl/som/00eaa30af4906871e8eecda18e78d1bd,ANTON ZEMAN,1937
https://data.muziekschatten.nl/som/00eb40da174bbdfc21d86e53a948ef11,HARRY BIDGOOD,1898
https://data.muziekschatten.nl/som/00eb40da174bbdfc21d86e53a948ef11,PRIMA SCALA,1898
https://data.muziekschatten.nl/som/00eba5279f3790e33baaf00f3ccf45e6,LEOPOLD I (KEIZER VAN DUITSLAND),1640
https://data.muziekschatten.nl/som/00ee55ff5c56e7e56fd679acc4ddc27a,ADALBERT MARKOVIC,1929
https://data.muziekschatten.nl/som/00eeba711ce8359f70adb6942e717ff0,RUDOLF BAYR,1919
https://data.muziekschatten.nl/som/00f0b824fb8dc488e4ea011cc418d8e6,LUIGI VON KUNITS,1870
https://data.muziekschatten.nl/som/00f388ced5a2e329f8e108bb3f49f5e9,NARCISO PAZ,1701
https://data.muziekschatten.nl/som/00f388ced5a2e329f8e108bb3f49f5e9,NARCISO PAZ,17..
https://data.muziekschatten.nl/som/00f8ff6fcb53e6ca3d6ed21440f9ac21,JACQUES PRESS,1903
https://data.muziekschatten.nl/som/00fbbde820e6b46ba3047fd2c776ab06,PLACIDUS METSCH,1700
https://data.muziekschatten.nl/som/00fcdb591ead53b9e60a188762d6a3bd,JUAN HIDALGO CODORNIU,1927
https://data.muziekschatten.nl/som/00fd374370b4db6afa9d47aa1616660a,NICK ACQUAVIVA,1927
https://data.muziekschatten.nl/som/00fd6b3d582aa2cde525437c892b337d,MARIJKE MORLEY,1935
https://data.muziekschatten.nl/som/00ffe522e1e78bd1fb7c9a3d49e36b0e,CHRISTIAN AUGUST POHLENZ,1790
https://data.muziekschatten.nl/som/01042c4ce51ea9b2e8429fb6dd33935b,THOMAS BENJAMIN,1940
https://data.muziekschatten.nl/som/01072fd5a9b7932e823e9fcb1a42b498,SIMON KEIZER,1984
https://data.muziekschatten.nl/som/0109730b52a936a8952f244c8d3b9fb3,MADELAINE,1881
https://data.muziekschatten.nl/som/0109730b52a936a8952f244c8d3b9fb3,MARIE MADELEINE,1881
https://data.muziekschatten.nl/som/010a8d4068dc2f0f30da1ee93853e03f,JOHANN JOSEPH FLIXI,1601
https://data.muziekschatten.nl/som/010a8d4068dc2f0f30da1ee93853e03f,JOHANN JOSEPH FLIXI,16..
https://data.muziekschatten.nl/som/010ad3386ff803532065910dc1e89b9c,FRIEDRICH DAMM,1831
https://data.muziekschatten.nl/som/010dc9502c48df2f7ddb04fbbea23315,NORMAN CORWIN,1910
https://data.muziekschatten.nl/som/010e420f295499f6816d22821bc3c699,FREDERICK WERLÉ,1910
https://data.muziekschatten.nl/som/010e89295430ecb634cf4dcf44668aa2,EDMUND SINGER,1831
https://data.muziekschatten.nl/som/010ec9831baf99b9b1c32dedcca07327,FRIEDBERT WISSMANN,1953
https://data.muziekschatten.nl/som/0111bce1588d5c001b28d624aa08f36d,JOHN MCLAUGHLIN,1942
https://data.muziekschatten.nl/som/01136248b79f442b3e8bdd115dd0a067,ADRIAN DENSS,1501
https://data.muziekschatten.nl/som/01136248b79f442b3e8bdd115dd0a067,ADRIAN DENSS,15..
https://data.muziekschatten.nl/som/0118862fcba67147e663f32dc33acc15,STOJANOFF,1902
https://data.muziekschatten.nl/som/0118862fcba67147e663f32dc33acc15,STOJANOV,1902
https://data.muziekschatten.nl/som/0118862fcba67147e663f32dc33acc15,STOYANOV,1902
https://data.muziekschatten.nl/som/0118862fcba67147e663f32dc33acc15,VESELIN STOÂNOV,1902
https://data.muziekschatten.nl/som/0119e9250bc2e1dea66b6fed2e193f34,RODNEY LISTER,1951
https://data.muziekschatten.nl/som/011d9d78789555aecff2095061f7c803,NAEGELI,1773
https://data.muziekschatten.nl/som/011d9d78789555aecff2095061f7c803,HANS GEORG NÄGELI,1773
https://data.muziekschatten.nl/som/011dfd9b0f025fbf949a898469f31b53,JIMMY GRANE,1910
https://data.muziekschatten.nl/som/011dfd9b0f025fbf949a898469f31b53,JIMMIE CRANE,1910
https://data.muziekschatten.nl/som/011e2c7464700b1536cb909d473a849a,CHRISTOPH STOLTZENBERG,1690
https://data.muziekschatten.nl/som/012061c72adef4505aedb0ff8630acbb,SOSNOVTSEV,1921
https://data.muziekschatten.nl/som/012061c72adef4505aedb0ff8630acbb,BORIS SOSNOVCEV,1921
https://data.muziekschatten.nl/som/01214e9250edbe7c0bed646a189cc9f4,GUSTAVO ADOLFO BÉCQUER,1836
https://data.muziekschatten.nl/som/012745d2b0bd50b16e6104f07374cac6,JIRÍ LABURDA,1931
https://data.muziekschatten.nl/som/012b54fdc712e31bfe1ac4b24e82e93a,ROBERT STRIZICH,1945
https://data.muziekschatten.nl/som/0131ed42efa08bfcd7287d49994535ca,ADOLPHE ADAM,1803
https://data.muziekschatten.nl/som/013846fe8e62cda9818983da000a78d1,GEORGE B. ALLEN,1822
https://data.muziekschatten.nl/som/0141f8503bca5b594b7340d6a2aae97a,WILHELM GERHARD,1780
